annee,nb_mesures,nb_parcelles,taux_moyen,taux_median,p90,sol_simple
2005,230,7,6.360869565217391,6.8,11.3,No data
2006,1291,20,2.749147947327653,2.9,4.5,No data
2007,1575,31,3.0071390476190474,3.6,4.6,Andosol
2008,183,8,3.1501530054644804,2.73,5.0,Andosol
2009,644,150,0.8920347826086957,0.012,2.39,Ferralsol
2011,1161,102,1.3875296726959516,0.11,4.54,Nitisol
2012,1474,138,0.49105237449118044,0.02,1.94,Nitisol
2013,1562,146,0.3671555697823303,0.00165,1.4,Ferralsol
2014,1097,128,0.2820668641750228,0.07,0.85,Ferralsol
2015,3143,430,0.5212733853006681,0.00165,1.128,Andosol
2016,1987,334,0.4185301711122295,0.00165,1.823,No data
2017,5966,940,0.48307113643982563,0.0024,1.072,Vertisol
2018,8754,997,0.11191441169750971,0.00165,0.2262,Andosol
2019,1962,179,0.08870229357798165,0.0018,0.4327,No data
